MMSI,Name,category,scene,timestamp_utc,sequence_index,observation_count,ais_lat,ais_lon,kalman_lat,kalman_lon,sog,cog,kalman_est_sog,kalman_est_cog,trajectory_point_source
440448000,HMM DAVAO,Cargo,S1A_IW_GRDH_1SDV_20260201T214258_20260201T214323_063031_07E8E6_6469,2026-02-01T21:42:58.000Z,1,1,37.3,126.59999847,37.3,126.59999847,0,0,0,0,kalman_est_lat_lon_from_AIS_position_updates
442004978,KAILANA PREMIER,Passenger,S1A_IW_GRDH_1SDV_20260208T105007_20260208T105032_063126_07EC76_ED28,2026-02-08T10:50:07.000Z,1,1,-7.96777763,113.1080246,-7.96777763,113.1080246,4.267734,78.694951,4.267734,78.694951,kalman_est_lat_lon_from_AIS_position_updates
477131200,PACIFIC GRACE,Cargo,S1A_IW_GRDH_1SDV_20260210T211856_20260210T211921_063162_07EDB8_2BA9,2026-02-10T21:18:56.000Z,1,1,-3.81,125.65000153,-3.81,125.65000153,15.622033,182.197525,15.622033,182.197525,kalman_est_lat_lon_from_AIS_position_updates
477147400,IPANEMA BEACH,Cargo,S1A_IW_GRDH_1SDV_20260202T100046_20260202T100111_063038_07E928_DAEB,2026-02-02T10:00:46.000Z,1,2,-7.01,126.55999756,-7.01,126.55999756,4.916450,75.867746,4.91645,75.867746,kalman_est_lat_lon_from_AIS_position_updates
477147400,IPANEMA BEACH,Cargo,S1A_IW_GRDH_1SDV_20260204T203118_20260204T203143_063074_07EA72_3422,2026-02-04T20:31:18.000Z,2,2,-9.47,137.41999817,-9.46999336,137.41999175,15.962274,105.287138,17.606014,108.439976,kalman_est_lat_lon_from_AIS_position_updates
477154800,OCEAN SPRING,Cargo,S1A_IW_GRDH_1SDV_20260201T214323_20260201T214348_063031_07E8E6_F802,2026-02-01T21:43:23.000Z,1,1,-2.66,118.61000061,-2.66,118.61000061,10.873680,6.334774,10.87368,6.334774,kalman_est_lat_lon_from_AIS_position_updates
477167800,SITC HAIPHONG,Cargo,S1A_IW_GRDH_1SDV_20260205T224706_20260205T224735_063090_07EB0F_2E89,2026-02-05T22:47:06.000Z,1,1,4.05,105.33000183,4.05,105.33000183,19.376988,196.150599,19.376988,196.150599,kalman_est_lat_lon_from_AIS_position_updates
477424800,OCEAN DALIAN,Cargo,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_DE84,2026-02-01T21:42:33.000Z,1,1,1.28,119.27999878,1.28,119.27999878,6.712651,10.300637,6.712651,10.300637,kalman_est_lat_lon_from_AIS_position_updates
477441200,CS GRACE,Cargo,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,2026-02-01T21:43:48.000Z,1,1,-3.8,118.30000305,-3.8,118.30000305,4.323186,56.255380,4.323186,56.25538,kalman_est_lat_lon_from_AIS_position_updates
477681300,HUI CHANG HAI,Cargo,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_DE84,2026-02-01T21:42:33.000Z,1,1,0.29,119.29000092,0.29,119.29000092,20.182835,22.750368,20.182835,22.750368,kalman_est_lat_lon_from_AIS_position_updates
477802300,OCEAN WORLD,Cargo,S1A_IW_GRDH_1SDV_20260201T214258_20260201T214323_063031_07E8E6_6469,2026-02-01T21:42:58.000Z,1,1,-1.1,118.87000275,-1.1,118.87000275,9.625204,183.573722,9.625204,183.573722,kalman_est_lat_lon_from_AIS_position_updates
477902200,MAGSENGER 9,Cargo,S1A_IW_GRDH_1SDV_20260201T214258_20260201T214323_063031_07E8E6_6469,2026-02-01T21:42:58.000Z,1,1,-0.2,118.95999908,-0.2,118.95999908,15.201059,189.090455,15.201059,189.090455,kalman_est_lat_lon_from_AIS_position_updates
503000164,CORAL GEOGRAPHER,Passenger,S1A_IW_GRDH_1SDV_20260212T210304_20260212T210329_063191_07EED2_B2B3,2026-02-12T21:03:04.000Z,1,1,-4.28444604,130.23365021,-4.28444604,130.23365021,12.250153,192.892012,12.250153,192.892012,kalman_est_lat_lon_from_AIS_position_updates
50862783,KMP PERMATA LESTARI3,Passenger,S1A_IW_GRDH_1SDV_20260209T113334_20260209T113359_063141_07ECFF_5730,2026-02-09T11:33:34.000Z,1,1,2.77125009,102.13851929,2.77125009,102.13851929,0.240598,176.729495,0.240598,176.729495,kalman_est_lat_lon_from_AIS_position_updates
518100932,CHARLEY 2,Passenger,S1A_IW_GRDH_1SDV_20260202T222424_20260202T222449_063046_07E974_2178,2026-02-02T22:24:24.000Z,1,2,-1.61443324,109.09664154,-1.61443324,109.09664154,12.245611,49.369455,12.245611,49.369455,kalman_est_lat_lon_from_AIS_position_updates
518100932,CHARLEY 2,Passenger,S1A_IW_GRDH_1SDV_20260205T102546_20260205T102615_063082_07EACD_4837,2026-02-05T10:25:46.000Z,2,2,-6.84530542,119.72316742,-6.84524587,119.72313832,2.805101,82.877765,15.082037,143.838389,kalman_est_lat_lon_from_AIS_position_updates
525000555,KM.BANDAR BESTARI 03,Fishing,S1A_IW_GRDH_1SDV_20260307T111544_20260307T111609_063520_07FB52_A93E,2026-03-07T11:15:44.000Z,1,1,-4.39,107.16999817,-4.39,107.16999817,8.595411,12.062059,8.595411,12.062059,kalman_est_lat_lon_from_AIS_position_updates
