candidate_type,score,scene,MMSI,Name,evidence,figure_path,vv_patch_path,vh_patch_path
spoofing,0.7598,S1A_IW_GRDH_1SDV_20260210T211647_20260210T211716_063162_07EDB8_EEBD,636019952,J MARE,SAR-AIS distance 11.29 km with time gap 0.28 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\252_spoofing_636019952_6_063162_07EDB8_EEBD.png,new\Patch_RGB\Cargo_x17469_y11292.png,new\Patch_RGB\Cargo_x17469_y11292_vh.png
spoofing,0.7477,S1A_IW_GRDH_1SDV_20260201T214413_20260201T214438_063031_07E8E6_4D01,525119065,KL SLTN HASANUDDIN,SAR-AIS distance 10.93 km with time gap 0.26 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\253_spoofing_525119065_8_063031_07E8E6_4D01.png,new\Patch_RGB\Cargo_x15266_y9172.png,new\Patch_RGB\Cargo_x15266_y9172_vh.png
spoofing,0.747,S1A_IW_GRDH_1SDV_20260207T223330_20260207T223355_063119_07EC28_B5F7,525100173,MELLINDA,SAR-AIS distance 10.91 km with time gap 0.44 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\254_spoofing_525100173_5_063119_07EC28_B5F7.png,new\Patch_RGB\Cargo_x6284_y17328_vv.png,new\Patch_RGB\Cargo_x6284_y17328_vh.png
spoofing,0.7456,S1A_IW_GRDH_1SDV_20260207T223330_20260207T223355_063119_07EC28_B5F7,525020309,SOKKA,SAR-AIS distance 10.87 km with time gap 0.44 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\255_spoofing_525020309_5_063119_07EC28_B5F7.png,new\Patch_RGB\Cargo_x17779_y13416_vv.png,new\Patch_RGB\Cargo_x17779_y13416_vh.png
spoofing,0.741,S1A_IW_GRDH_1SDV_20260205T224735_20260205T224800_063090_07EB0F_B181,255806496,MSC ANZU,SAR-AIS distance 10.73 km with time gap 0.21 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\256_spoofing_255806496_0_063090_07EB0F_B181.png,new\Patch_RGB\Cargo_x23732_y19970.png,new\Patch_RGB\Cargo_x23732_y19970_vh.png
spoofing,0.7363,S1A_IW_GRDH_1SDV_20260303T223329_20260303T223354_063469_07F964_12E5,525600491,KM SENTOSA 209,SAR-AIS distance 10.59 km with time gap 0.44 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\257_spoofing_525600491_4_063469_07F964_12E5.png,new\Patch_RGB\Cargo_x16271_y13170_vv.png,new\Patch_RGB\Cargo_x16271_y13170_vh.png
spoofing,0.7224,S1A_IW_GRDH_1SDV_20260209T113334_20260209T113359_063141_07ECFF_5730,372746000,BMC ENDORA,SAR-AIS distance 10.17 km with time gap 0.44 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\258_spoofing_372746000_9_063141_07ECFF_5730.png,new\Patch_RGB\Cargo_x18094_y2022.png,new\Patch_RGB\Cargo_x18094_y2022_vh.png
spoofing,0.7219,S1A_IW_GRDH_1SDV_20260208T213631_20260208T213656_063133_07ECB4_8B78,525701505,KM. SINAR PAPUA 88,SAR-AIS distance 10.16 km with time gap 0.39 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\259_spoofing_525701505_6_063133_07ECB4_8B78.png,new\Patch_RGB\Cargo_x21173_y12692.png,new\Patch_RGB\Cargo_x21173_y12692_vh.png
spoofing,0.7183,S1A_IW_GRDH_1SDV_20260303T223329_20260303T223354_063469_07F964_12E5,525016346,KM.ARMADA CONTENER 8,SAR-AIS distance 10.05 km with time gap 0.44 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\260_spoofing_525016346_4_063469_07F964_12E5.png,new\Patch_RGB\Cargo_x17659_y13574_vv.png,new\Patch_RGB\Cargo_x17659_y13574_vh.png
spoofing,0.7178,S1A_IW_GRDH_1SDV_20260203T104157_20260203T104226_063053_07E9B4_C014,525018455,KMP TRIMAS LAILA,SAR-AIS distance 10.03 km with time gap 0.30 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\261_spoofing_525018455_6_063053_07E9B4_C014.png,new\Patch_RGB\Passenger_x5541_y18544_vv.png,new\Patch_RGB\Passenger_x5541_y18544_vh.png
spoofing,0.7157,S1A_IW_GRDH_1SDV_20260216T220904_20260216T220929_063250_07F107_A8AC,525102590,KM.SINARMANDIRISAKTI,SAR-AIS distance 9.97 km with time gap 1.15 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\262_spoofing_525102590_9_063250_07F107_A8AC.png,new\Patch_RGB\Fishing100_Fishing_x13098_y14792.png,new\Patch_RGB\Fishing100_Fishing_x13098_y14792_vh.png
spoofing,0.7154,S1A_IW_GRDH_1SDV_20260203T212835_20260203T212900_063060_07E9F3_927D,525301327,DHARMA RUCITRA 8,SAR-AIS distance 9.96 km with time gap 0.48 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\263_spoofing_525301327_0_063060_07E9F3_927D.png,new\Patch_RGB\Cargo_x9001_y16620.png,new\Patch_RGB\Cargo_x9001_y16620_vh.png
spoofing,0.7139,S1A_IW_GRDH_1SDV_20260213T214257_20260213T214322_063206_07EF64_43E7,431447000,DAWN HORIZON,SAR-AIS distance 9.92 km with time gap 0.28 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\264_spoofing_431447000_2_063206_07EF64_43E7.png,new\Patch_RGB\Fishing100_Fishing_x5080_y4459.png,new\Patch_RGB\Fishing100_Fishing_x5080_y4459_vh.png
spoofing,0.7066,S1A_IW_GRDH_1SDV_20260207T205512_20260207T205537_063118_07EC1F_A922,525500142,KM.MA NO.2,SAR-AIS distance 9.70 km with time gap 0.08 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\265_spoofing_525500142_7_063118_07EC1F_A922.png,new\Patch_RGB\Cargo_x22385_y11168.png,new\Patch_RGB\Cargo_x22385_y11168_vh.png
spoofing,0.6986,S1A_IW_GRDH_1SDV_20260310T204549_20260310T204614_063570_07FD3D_53D6,525101083,SABUK NUSANTARA 98,SAR-AIS distance 9.46 km with time gap 0.24 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\266_spoofing_525101083_4_063570_07FD3D_53D6.png,new\Patch_RGB\Cargo_x18630_y4823_vv.png,new\Patch_RGB\Cargo_x18630_y4823_vh.png
spoofing,0.6952,S1A_IW_GRDH_1SDV_20260216T112524_20260216T112549_063243_07F0C2_14CA,412210000,RUI NING 3,SAR-AIS distance 9.36 km with time gap 0.42 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\267_spoofing_412210000_9_063243_07F0C2_14CA.png,new\Patch_RGB\Fishing100_Fishing_x25014_y9283.png,new\Patch_RGB\Fishing100_Fishing_x25014_y9283_vh.png
spoofing,0.6935,S1A_IW_GRDH_1SDV_20260305T203808_20260305T203833_063497_07FA75_AF01,525101197,KM TIMUR JAYA 168,SAR-AIS distance 9.31 km with time gap 0.64 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\268_spoofing_525101197_3_063497_07FA75_AF01.png,new\Patch_RGB\Fishing112_Fishing_x6831_y13582.png,new\Patch_RGB\Fishing112_Fishing_x6831_y13582_vh.png
spoofing,0.6904,S1A_IW_GRDH_1SDV_20260216T203117_20260216T203142_063249_07F0FC_2528,525800725,INDO LAUTAN SAKTI 1,SAR-AIS distance 9.21 km with time gap 0.48 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\269_spoofing_525800725_2_063249_07F0FC_2528.png,new\Patch_RGB\Fishing100_Fishing_x24223_y7824.png,new\Patch_RGB\Fishing100_Fishing_x24223_y7824_vh.png
spoofing,0.6832,S1A_IW_GRDH_1SDV_20260201T214208_20260201T214233_063031_07E8E6_8878,636021334,CHAILEASE BRIGHT,SAR-AIS distance 9.00 km with time gap 0.30 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\270_spoofing_636021334_3_063031_07E8E6_8878.png,new\Patch_RGB\Cargo_x1261_y13009.png,new\Patch_RGB\Cargo_x1261_y13009_vh.png
spoofing,0.6803,S1A_IW_GRDH_1SDV_20260219T115028_20260219T115053_063288_07F270_3A9E,525201255,,SAR-AIS distance 8.91 km with time gap 0.16 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\271_spoofing_525201255_3_063288_07F270_3A9E.png,new\Patch_RGB\Fishing100_Fishing_x22421_y13411.png,new\Patch_RGB\Fishing100_Fishing_x22421_y13411_vh.png
spoofing,0.6774,S1A_IW_GRDH_1SDV_20260215T104128_20260215T104157_063228_07F03A_350C,525800332,MILLENIUM JAYA 118,SAR-AIS distance 8.82 km with time gap 0.31 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\272_spoofing_525800332_7_063228_07F03A_350C.png,new\Patch_RGB\Fishing100_Fishing_x13760_y14428.png,new\Patch_RGB\Fishing100_Fishing_x13760_y14428_vh.png
spoofing,0.6745,S1A_IW_GRDH_1SDV_20260303T223329_20260303T223354_063469_07F964_12E5,525850720,ANDALAN SUMBERBAHARI,SAR-AIS distance 8.74 km with time gap 0.44 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\273_spoofing_525850720_4_063469_07F964_12E5.png,new\Patch_RGB\Fishing112_Fishing_x9315_y18434.png,new\Patch_RGB\Fishing112_Fishing_x9315_y18434_vh.png
